Current Assessed Value,Roll Number,Location Address,Taxation Status,Assessment Class,Property Type,Property Use,Valuation Approach,Market Adjustment,Community,Market Area,Sub Neighbourhood Code (SNC),Sub Market Area,Influences,Land Use Designation,Assessable Land Area,Building Count,Building Type/Structure,Year of Construction,Quality,Total Living Area Above Grade,Living Area Below Grade,Basement Suite,Walkout Basement,Garage Type,Garage Area,Fireplace Count,Renovation,Constructed On Original Foundation,Modified For Disabled,Old House On New Foundation,Basementless,Penthouse
553500,438000010,14 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,4606,1,House / 2 Storey,2000,Average,2164,815,0,0,0,440,1,unk.,0,0,0,0,0
497000,438000011,29 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,4174,1,House / 2 Storey,2001,Average,2013,0,0,0,0,390,1,unk.,0,0,0,0,0
555500,438000012,41 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,4201,1,House / 2 Storey,2001,Average,2162,0,0,T,0,420,1,unk.,0,0,0,0,0
536500,438000013,34 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,4601,1,House / 2 Storey,2000,Average,2075,719,0,0,0,450,1,unk.,0,0,0,0,0
498500,438000014,38 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,Corner Lot,Residential - Contextual One Dwelling,4979,1,House / 2 Storey,2000,Average,1904,483,0,0,0,396,1,unk.,0,0,0,0,0
478500,438000015,30 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,4602,1,House / 2 Storey,2000,Average,1741,663,0,0,0,399,1,unk.,0,0,0,0,0
550500,438000016,25 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,4174,1,House / 2 Storey,2001,Average,1917,841,0,T,0,403,1,unk.,0,0,0,0,0
539500,438000017,53 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,5856,1,House / 2 Storey,2001,Average,2001,0,0,T,0,426,1,unk.,0,0,0,0,0
562000,438000018,49 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,6038,1,House / 2 Storey,2001,Average,1934,712,0,T,0,463,1,unk.,0,0,0,0,0
518000,438000019,18 FAKE CL NW,Taxable,Residential 100%,Land and Improvement,Single Residential,Sales Comparison,F,Rocky Ridge,SNGLRES WEST,001,SNGLRES B,0,Residential - Contextual One Dwelling,4601,1,House / 2 Storey,2000,Average,2167,0,0,0,0,420,1,unk.,0,0,0,0,0
